eta3,n,i,j,z_rest_int,trial_id,kappa_true,kappa_hat,a_true,b_true,cos_a_hat,sin_a_hat,cos_b_hat,sin_b_hat,amp_a,amp_b
0.2,4,0,1,1,6,1.029236884,1.033932753,1.014618442,-0.014618442,0.524414063,0.850585938,1,-0.015625,0.999252994,1.000122063
0.2,4,0,1,2,6,0.970763116,0.971599675,-0.014618442,-0.985381558,0.999023438,-0.01171875,0.560546875,-0.841796875,0.999092167,1.011352944
0.2,4,0,1,3,6,0.824336646,0.843543444,-0.087831677,-0.912168323,0.998046875,-0.083007813,0.607421875,-0.80859375,1.001492817,1.011328427
0.2,4,2,3,0,6,1,1.036948116,1.05122506,0.05122506,0.475585938,0.887695313,0.999023438,0.041992188,1.007067501,0.999905582
0.2,4,2,3,1,6,1,1.025241211,0.94877494,-0.05122506,0.565429688,0.798828125,0.997070313,-0.0703125,0.978691527,0.999546425
0.2,4,2,3,2,6,1,1.039071372,-0.05122506,-1.05122506,0.999023438,-0.024414063,0.4765625,-0.857421875,0.999321708,0.980960798
0.2,4,2,3,3,6,1,0.977881356,0.05122506,-0.94877494,0.998046875,0.055664063,0.62109375,-0.819335938,0.999597945,1.028138524
0.2,4,0,1,0,7,1.175663354,1.199106198,1.087831677,-0.087831677,0.473632813,0.8984375,0.994140625,-0.11328125,1.015636737,1.000573947
0.2,4,0,1,1,7,1.029236884,1.007866676,1.014618442,-0.014618442,0.494140625,0.84765625,1,0.03515625,0.981170768,1.00061779
0.2,4,0,1,2,7,0.970763116,0.994819233,-0.014618442,-0.985381558,1,0.004882813,0.541015625,-0.82421875,1.000011921,0.985918077
0.2,4,0,1,3,7,0.824336646,0.861376716,-0.087831677,-0.912168323,0.99609375,-0.044921875,0.606445313,-0.774414063,0.99710618,0.983612249
0.2,4,2,3,0,7,1,1.031804144,1.05122506,0.05122506,0.4921875,0.884765625,0.997070313,0.03125,1.012451849,0.997559908
0.2,4,2,3,1,7,1,1.016147079,0.94877494,-0.05122506,0.579101563,0.821289063,1,-0.059570313,1.004925044,1.00177274
0.2,4,2,3,2,7,1,1.025416621,-0.05122506,-1.05122506,1,-0.02734375,0.489257813,-0.858398438,1.00037377,0.98803901
0.2,4,2,3,3,7,1,0.998733021,0.05122506,-0.94877494,0.998046875,0.04296875,0.571289063,-0.80859375,0.99897141,0.990048002
0.2,4,0,1,0,8,1.175663354,1.167424657,1.087831677,-0.087831677,0.461914063,0.87109375,0.995117188,-0.083984375,0.985986269,0.998654891
