run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_161135,0.2,6,2,3,14,16,0.999634205,0.000365795,1.000554634,0.998686827,0.99698996,2048
20260111_161135,0.2,6,2,3,15,16,0.999674974,0.000325026,1.001503594,0.99360423,0.983593509,2048
20260111_161135,0.2,6,2,3,16,16,0.999752041,0.000247959,0.990356202,0.99519986,0.983291089,2048
20260111_161135,0.2,6,2,3,17,16,0.999681531,0.000318469,0.998359801,0.992849126,0.981087907,2048
20260111_161135,0.2,6,2,3,18,16,0.999706212,0.000293788,1.007739246,0.993478609,0.984119381,2048
20260111_161135,0.2,6,2,3,19,16,0.999760259,0.000239741,0.991443589,0.993023187,0.975788905,2048
20260111_161119,0.2,7,0,1,0,32,0.992194863,0.007805137,0.99771501,0.993731605,0.984020386,2048
20260111_161119,0.2,7,0,1,1,32,0.991458908,0.008541092,0.998231974,0.990752747,0.976331437,2048
20260111_161119,0.2,7,0,1,2,32,0.991134045,0.008865955,1.000728929,0.994901531,0.984468783,2048
20260111_161119,0.2,7,0,1,3,32,0.991606036,0.008393964,1.000864826,0.992355962,0.978399877,2048
20260111_161119,0.2,7,0,1,4,32,0.99221805,0.00778195,1.004081754,0.99224412,0.981097357,2048
20260111_161119,0.2,7,0,1,5,32,0.992727102,0.007272898,0.996930447,0.996845138,0.988921605,2048
20260111_161119,0.2,7,0,1,6,32,0.99147745,0.00852255,1.005684707,0.992376613,0.983173804,2048
20260111_161119,0.2,7,0,1,7,32,0.990437114,0.009562886,1.001853858,0.993133801,0.98370096,2048
20260111_161119,0.2,7,0,1,8,32,0.990886882,0.009113118,0.991401714,0.991070528,0.974017054,2048
20260111_161119,0.2,7,0,1,9,32,0.992635116,0.007364884,1.00544124,0.995457366,0.984945451,2048
20260111_161119,0.2,7,0,1,10,32,0.992075945,0.007924055,1.000487585,0.994114044,0.984072336,2048
